Error Code,Error Message,SYSTEM ERROR,Explanation
102,Excluded,Excluded by send time filter.,Excluded by the send-time filter.
103,MessageBuildError,An error occurred when building the subscriber message.,An error occurred when building the subscriber message.
104,RecursiveScriptError,A submitted script contains a self-reference that could lead to an infinite recursion.,A submitted script contains a self-reference that can lead to an infinite recursion.
105,InvalidSendTimeDataError,The send time data XML is invalid.,Invalid send-time data XML file.
106,MissingSendDataExtensionSourceRowError,The source row for the subscriber in the data extension send source is missing.,Missing source row for the subscriber in the data extension send source.
107,MissingSubscriberDataError,The Members source row is missing.,Missing members source row.
108,MissingListSubscriberDataError,The tblListSub source row is missing.,Missing tblListSub source row.
109,MissingSubscriberKeyError,The subscriber key is missing.,Missing subscriber key.
110,InvalidEmailAddressError,The email address for the subscriber is invalid.,Invalid subscriber email address.
111,ScriptRaiseError,The subscriber has been excluded by a RaiseError function call.,Subscriber is excluded by a RaiseError function call.
112,EmptyHTTPGetReturnError,An HTTPGet call for the subscriber returned an empty result.,An HTTPGet request for the subscriber returned an empty result.
113,EmptyHTTPGetFunctionReturnError,An HTTPGet function call for the subscriber returned an empty result.,An HTTPGet function request for the subscriber returned an empty result.
114,MissingSFIDError,The Salesforce ID for the subscriber is missing.,Missing subscriber’s Salesforce ID.
115,MissingSFDataError,The Salesforce data for the subscriber is missing.,Missing subscriber’s Salesforce data.
116,MissingSFSubscriberDataError,The SF Subscriber row for the subscriber is missing.,Missing subscriber’s SF Subscriber row.
117,CouldNotResolveSecureEmailToken,"The account is configured for secure email addresses, but the secure email address token for this subscriber could not be resolved.","The account is configured for secure email addresses, but the secure email address token for the subscriber could not be resolved."
118,GlobalUnsub,The email address is on the Global Unsub list.,Email address is on the Global Unsub list.
119,PartnerUnsub,The email address is on the Partner Unsub list.,Email address is on the Partner Unsub list.
120,ListDetectiveExclusion,The email address was excluded by List Detective.,Email address was excluded by List Detective.
121,ProcessedByPairedMember,The alternate job in the highly available job pair processed the subscriber.,The alternate job in the highly available job pair processed the subscriber.
122,SMTPFileNotFound,The file containing the SMTP message for this subscriber was not found.,Can’t find file containing the subscriber’s SMTP message.
123,SMTPFileIOError,The file containing the SMTP message for this subscriber could not be read.,Can’t read file containing the subscriber’s SMTP message.
124,SMTPFileFormatError,The file containing the SMTP message for this subscriber is in an invalid format.,Invalid format for the file containing the subscriber’s SMTP message.
125,DecryptionFailed,An encrypted field on the sendable data extension could not be decrypted.,Can’t decrypt an encrypted field on the sendable data extension.
126,MessageVolumeLimitExceeded,Account email volume limit has been exceeded and subscriber will not be processed.,Exceeded account email volume limit. Can’t process subscriber.
127,EmptySubject,The resolved email subject for this subscriber is empty.,The resolved email subject for the subscriber is empty.
128,ResolvedEmailBodyTooShort,The resolved email body for this subscriber is too short.,The resolved email body for the subscriber is too short.
129,PhoneNumberValidationFailed,The phone number failed validation at send time.,Phone number failed validation at send time.
130,PayloadExceedsMaximum,The payload exceeds maximum.,Payload is too large. Ensure that the payload is less than the maximum data amount specified by your admin.
131,LinkDataExceedsMaximumSize,The compressed job subscriber link data exceeds the Link database storage capacity of 256k.,"Compressed job subscriber link data is too large. Link database storage capacity is 256,000."
132,InvalidCCEmailAddressError,The resolved CC email address for the subscriber is invalid.,Invalid resolved CC email address for the subscriber.
133,InvalidBCCEmailAddressError,The resolved BCC email address for the subscriber is invalid.,Invalid resolved BCC email address for the subscriber.
134,SubscriberDeleted,The subscriber or contact is being processed for deletion and cannot be sent to.,Can’t send because subscriber or contact is being processed for deletion.
135,RestrictedForProcessing,The subscriber or contact is restricted for processing and cannot be sent to.,Can’t send because subscriber or contact is restricted for processing.
136,SubscriberKeyMismatch,The subscriber or contact subscriber key no longer matches the send data extension subscriber key value.,Subscriber key or contact key doesn’t match the send data extension subscriber key.
137,SubscriberIDMismatch,The subscriber or contact subscriber id no longer matches the send data extension subscriber id value.,Subscriber ID or contact ID doesn’t match the send data extension subscriber ID.
138,ExceededExpirationPolicy,The triggered send request to send to the subscriber or contact is expired.,Expired triggered send request to the subscriber or contact.
139,TimedoutInQueue,The triggered send request to send to the subscriber or contact is timed out waiting in the queue.,Triggered send request to the subscriber or contact has timed out while waiting in the queue.
140,UnverifiedFromEmailAddress,The from email address is unverified.,Unverified From email address.
141,V2TriggeredSendDeletedFromQueue,The subscriber was deleted by the CLEAR_TS_QUEUE slot worker.,Subscriber deleted by the CLEAR_TS_QUEUE slot worker.
1000,UnsubscribedList,Subscriber excluded from send because unsubscribed from list.,Subscriber excluded from the send because subscriber is unsubscribed from the list.
1010,UnsubscribedMaster,Subscriber excluded from send because unsubscribed from client all subscriber list.,Subscriber excluded from the send because subscriber is unsubscribed from the client All Subscribers list.
1020,UnsubscribedGlobal,Subscriber excluded from send because unsubscribed from ExactTarget globally.,Subscriber excluded from the send because subscriber is globally unsubscribed from Marketing Cloud.
1030,Held,Subscriber excluded from send because held.,Subscriber excluded from send because subscriber is in held status.
1040,Deleted,Subscriber excluded from send because deleted.,Subscriber excluded from send because subscriber was deleted.
